Sample,DNA Name,Length (bp),Concentration (ng/uL),Primer
492,D_T7_5543_P2_12,1000,0.83,27F
493,D_T7_5543_P2_13,1000,0.83,27F
494,D_T7_5543_P2_14,1000,0.83,27F
495,D_T7_5543_P2_15,1000,0.83,27F
496,D_T7_5543_P2_16,1000,0.83,27F
497,D_T7_5543_P2_17,1000,0.83,27F
498,D_T7_5543_P2_18,1000,0.83,27F
499,D_T7_5543_P2_19,1000,0.83,27F
500,D_T7_5543_P2_20,1000,0.83,27F
501,D_T7_5543_P2_21,1000,0.83,27F
502,D_T7_5543_P2_22,1000,0.83,27F
503,D_T7_5543_P2_23,1000,0.83,27F
504,D_T7_5543_P2_24,1000,0.83,27F
505,D_T7_5543_P2_25,1000,0.83,27F
506,D_T7_5543_P2_26,1000,0.83,27F
507,D_T7_5543_P2_27,1000,0.83,27F
508,D_T7_5543_P2_28,1000,0.83,27F
509,D_T7_5543_P2_29,1000,0.83,27F
510,D_T7_5543_P2_30,1000,0.83,27F
511,D_T7_5543_P2_31,1000,0.83,27F
512,D_T7_5543_P2_32,1000,0.83,27F
513,D_T7_5543_P2_33,1000,0.83,27F
514,D_T7_5543_P2_34,1000,0.83,27F
515,D_T7_5543_P2_35,1000,0.83,27F
516,D_T7_5543_P2_36,1000,0.83,27F
517,D_T7_5543_P2_37,1000,0.83,27F
518,D_T7_5543_P2_38,1000,0.83,27F
519,D_T7_5543_P2_39,1000,0.83,27F
520,D_T7_5543_P2_40,1000,0.83,27F
521,D_T7_5543_P2_41,1000,0.83,27F
522,D_T7_5543_P2_42,1000,0.83,27F
523,D_T7_5543_P2_43,1000,0.83,27F
524,D_T7_5543_P2_44,1000,0.83,27F
525,D_T7_5543_P2_45,1000,0.83,27F
526,D_T7_5543_P2_46,1000,0.83,27F
527,D_T7_5543_P2_47,1000,0.83,27F
528,D_T7_5543_P2_48,1000,0.83,27F
529,D_T7_5543_P2_49,1000,0.83,27F
530,D_T7_5543_P2_50,1000,0.83,27F
531,D_T7_5543_P2_51,1000,0.83,27F
532,D_T7_5543_P2_52,1000,0.83,27F
533,D_T7_5543_P2_53,1000,0.83,27F
534,D_T7_5543_P2_54,1000,0.83,27F
535,D_T7_5543_P2_55,1000,0.83,27F
536,D_T7_5543_P2_56,1000,0.83,27F
537,D_T7_5543_P2_57,1000,0.83,27F
538,D_T7_5543_P2_58,1000,0.83,27F
539,D_T7_5543_P2_59,1000,0.83,27F
540,D_T7_5543_P2_60,1000,0.83,27F
541,D_T7_5543_P2_61,1000,0.83,27F
542,D_T7_5543_P2_62,1000,0.83,27F
543,D_T7_5543_P2_63,1000,0.83,27F
544,D_T7_5543_P2_64,1000,0.83,27F
545,D_T7_5543_P2_65,1000,0.83,27F
546,D_T7_5543_P2_66,1000,0.83,27F
547,D_T7_5543_P2_67,1000,0.83,27F
548,D_T7_5543_P2_68,1000,0.83,27F
549,D_T7_5543_P2_69,1000,0.83,27F
550,D_T7_5543_P2_70,1000,0.83,27F
551,D_T7_5543_P2_71,1000,0.83,27F
