Community,Isolate1,Isolate2,Isolate1InitialODFreq,Isolate2InitialODFreq,Time,Isolate1MeasuredFreq,ErrorIsolate1MeasuredFreq,RawDataType,Contamination
RanAss1,1,2,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss1,2,3,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss1,2,4,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss1,2,5,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss1,2,6,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss1,2,7,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss1,2,8,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss1,1,3,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss1,2,3,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss1,3,4,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss1,3,5,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss1,3,6,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss1,3,7,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss1,3,8,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss1,1,4,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss1,2,4,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss1,3,4,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss1,4,5,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss1,4,6,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss1,4,7,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss1,4,8,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss1,1,5,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss1,2,5,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss1,3,5,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss1,4,5,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss1,5,6,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss1,5,7,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss1,5,8,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss1,1,6,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss1,2,6,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss1,3,6,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss1,4,6,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss1,5,6,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss1,6,7,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss1,6,8,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss1,1,7,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss1,2,7,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss1,3,7,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss1,4,7,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss1,5,7,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss1,6,7,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss1,7,8,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss1,1,8,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss1,2,8,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss1,3,8,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss1,4,8,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss1,5,8,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss1,6,8,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss1,7,8,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss1,1,2,0.05,0.95,T3,0.0992176645137922,,Sanger,FALSE
RanAss1,1,2,0.95,0.05,T3,0.0473336207506589,,Sanger,FALSE
RanAss1,1,3,0.05,0.95,T3,0.0776312242408453,,Sanger,FALSE
RanAss1,1,3,0.95,0.05,T3,0.0243841201168131,,Sanger,FALSE
RanAss1,1,4,0.05,0.95,T3,0.463351563754446,,Sanger,FALSE
RanAss1,1,4,0.95,0.05,T3,0.474024893617277,,Sanger,FALSE
RanAss1,1,5,0.05,0.95,T3,0.677302983644192,,Sanger,FALSE
RanAss1,1,5,0.95,0.05,T3,0.679317327555394,,Sanger,FALSE
RanAss1,1,6,0.05,0.95,T3,0.331597751592365,,Sanger,FALSE
RanAss1,1,6,0.95,0.05,T3,0.0703282195377377,,Sanger,FALSE
RanAss1,1,7,0.05,0.95,T3,0.727677975803907,,Sanger,FALSE
RanAss1,1,7,0.95,0.05,T3,0.734529156276351,,Sanger,FALSE
RanAss1,1,8,0.05,0.95,T3,0.922152201148599,,Sanger,FALSE
RanAss1,1,8,0.95,0.05,T3,0.881857196796297,,Sanger,FALSE
RanAss1,2,3,0.05,0.95,T3,0.0921620602731743,,Sanger,FALSE
RanAss1,2,3,0.95,0.05,T3,0.203865418802902,,Sanger,FALSE
RanAss1,2,4,0.05,0.95,T3,0.881279259051912,,Sanger,FALSE
RanAss1,2,4,0.95,0.05,T3,0.985713122595746,,Sanger,FALSE
RanAss1,2,5,0.05,0.95,T3,0.941370439600024,,Sanger,FALSE
RanAss1,2,5,0.95,0.05,T3,0.946797924269395,,Sanger,FALSE
RanAss1,2,6,0.05,0.95,T3,0.0312932025188316,,Sanger,FALSE
RanAss1,2,6,0.95,0.05,T3,0.835933307146331,,Sanger,FALSE
RanAss1,2,7,0.05,0.95,T3,0.969240029843268,,Sanger,FALSE
RanAss1,2,7,0.95,0.05,T3,0.903534015632913,,Sanger,FALSE
RanAss1,2,8,0.05,0.95,T3,0.973241302256412,,Sanger,FALSE
RanAss1,2,8,0.95,0.05,T3,0.96641475255261,,Sanger,FALSE
RanAss1,3,4,0.05,0.95,T3,0.895700571780706,,Sanger,FALSE
RanAss1,3,4,0.95,0.05,T3,0.948550199015203,,Sanger,FALSE
RanAss1,3,5,0.05,0.95,T3,0.941231705899918,,Sanger,FALSE
RanAss1,3,5,0.95,0.05,T3,0.956308186308301,,Sanger,FALSE
RanAss1,3,6,0.05,0.95,T3,0.123835861055814,,Sanger,FALSE
RanAss1,3,6,0.95,0.05,T3,0.936847204816403,,Sanger,FALSE
RanAss1,3,7,0.05,0.95,T3,0.937657139194138,,Sanger,FALSE
RanAss1,3,7,0.95,0.05,T3,0.968899580029596,,Sanger,FALSE
RanAss1,3,8,0.05,0.95,T3,0.990962449034807,,Sanger,FALSE
RanAss1,3,8,0.95,0.05,T3,0.990296173712577,,Sanger,FALSE
RanAss1,4,5,0.05,0.95,T3,0.648155209215514,,Sanger,FALSE
RanAss1,4,5,0.95,0.05,T3,0.959280136965916,,Sanger,FALSE
RanAss1,4,6,0.05,0.95,T3,0.0986233010088125,,Sanger,FALSE
RanAss1,4,6,0.95,0.05,T3,0.0739483139045371,,Sanger,FALSE
RanAss1,4,7,0.05,0.95,T3,0.771396922924392,,Sanger,FALSE
RanAss1,4,7,0.95,0.05,T3,0.756178406817982,,Sanger,FALSE
