"Community","Isolate1","Isolate2","Isolate1Freq","Isolate2Freq","Time","ErrorCellFreq1","CellFreq1"
"C11R1","2","5","95","5","T0",0.0071317070995976,0.978840846366145
"C11R1","2","6","95","5","T0",0.0113384414887886,0.968728755948334
"C11R1","2","7","95","5","T0",0.00648101418344125,0.981717011128776
"C11R1","2","8","95","5","T0",NA,NA
"C11R1","2","9","95","5","T0",NA,NA
"C11R1","3","4","95","5","T0",0.238174387761946,0.681614349775785
"C11R1","3","5","95","5","T0",0.00806818417278459,0.974002196997437
"C11R1","3","6","95","5","T0",0.0140016281377726,0.956917475728155
"C11R1","3","7","95","5","T0",0.0106888229725038,0.966556759302873
"C11R1","3","8","95","5","T0",0.0355888702556772,0.900976290097629
"C11R1","3","9","95","5","T0",0.0215729182859396,0.935278030993619
"C11R1","4","5","95","5","T0",0.00687298086105479,0.979381443298969
"C11R1","4","6","95","5","T0",0.00835096063012134,0.976505139500734
"C11R1","4","7","95","5","T0",0.00758607155771894,0.978319783197832
"C11R1","4","8","95","5","T0",0.0345375857808087,0.911439114391144
"C11R1","4","9","95","5","T0",0.0180099381804572,0.95
"C11R1","5","6","95","5","T0",0.010913041395661,0.96712619300106
"C11R1","5","7","95","5","T0",0.00788977568243263,0.975875486381323
"C11R1","5","8","95","5","T0",0.0177826224788577,0.94585152838428
"C11R1","5","9","95","5","T0",0.0112327536488093,0.965745856353591
"C11R1","6","7","95","5","T0",0.0162241754709449,0.947453083109919
"C11R1","6","8","95","5","T0",0.0179491369103262,0.941492537313433
"C11R1","6","9","95","5","T0",0.0147736155984294,0.951866404715128
"C11R1","7","8","95","5","T0",0.0222873943625107,0.929755327545383
"C11R1","7","9","95","5","T0",0.0157659032873217,0.949460533787621
"C11R1","8","9","95","5","T0",1.41564717709588,0.2375
"C11R2","1","2","5","95","T0",0.0591927800973342,0.126436781609195
"C11R2","1","3","5","95","T0",0.0471138015283397,0.12037037037037
"C11R2","1","4","5","95","T0",0.0882278522442633,0.241516966067864
"C11R2","1","5","5","95","T0",0.0470677766678195,0.114219114219114
"C11R2","1","6","5","95","T0",0.091967614075222,0.24901185770751
"C11R2","1","7","5","95","T0",0.0942393305713261,0.29368029739777
"C11R2","1","8","5","95","T0",0.116764300186253,0.314079422382671
"C11R2","1","9","5","95","T0",0.0502240533502774,0.114219114219114
"C11R2","1","10","5","95","T0",0.0390101429628065,0.0865384615384615
"C11R2","1","11","5","95","T0",0.0456944518078146,0.107981220657277
"C11R2","1","12","5","95","T0",0.0391538828032795,0.0909090909090909
"C11R2","2","3","5","95","T0",0.00657373517667191,0.0100200400801603
"C11R2","2","4","5","95","T0",0.0191496579617711,0.063802905874921
"C11R2","2","5","5","95","T0",0.0122338355591954,0.037037037037037
"C11R2","2","6","5","95","T0",0.0192108087977348,0.063802905874921
"C11R2","2","7","5","95","T0",0.00921834083268704,0.0243581303489138
"C11R2","2","8","5","95","T0",NA,NA
"C11R2","2","9","5","95","T0",0.0426279078446218,0.164128595600677
"C11R2","2","10","5","95","T0",0.045366460766994,0.178492239467849
"C11R2","2","11","5","95","T0",0.0131947634094021,0.0407766990291262
"C11R2","2","12","5","95","T0",0.00676198416990617,0.0113408939292862
"C11R2","3","4","5","95","T0",0.0427900948408749,0.143776824034335
"C11R2","3","5","5","95","T0",NA,NA
"C11R2","3","6","5","95","T0",NA,NA
"C11R2","3","7","5","95","T0",NA,NA
"C11R2","3","8","5","95","T0",0.0371522334990754,0.113333333333333
"C11R2","3","9","5","95","T0",0.0183395468719251,0.0511296076099881
"C11R2","3","10","5","95","T0",0.0194370511062078,0.0556213017751479
"C11R2","3","11","5","95","T0",0.0173950406092737,0.0488676996424315
"C11R2","3","12","5","95","T0",0.0206664108619337,0.0611764705882353
"C11R2","4","5","5","95","T0",0.0276671022035845,0.0944946589975349
"C11R2","4","6","5","95","T0",0.0262572338668582,0.0869925434962718
"C11R2","4","7","5","95","T0",0.0281794168168834,0.0967213114754098
"C11R2","4","8","5","95","T0",0.0239203538348946,0.075503355704698
"C11R2","4","9","5","95","T0",0.0211925322038942,0.0676818950930626
"C11R2","4","10","5","95","T0",0.0251058726018196,0.0831946755407654
"C11R2","4","11","5","95","T0",0.0159122712067939,0.0483592400690846
"C11R2","4","12","5","95","T0",0.0326759492094341,0.114859437751004
"C11R2","5","6","5","95","T0",0.0316712687318111,0.103946102021174
"C11R2","5","7","5","95","T0",0.0249948892971321,0.0809476801579467
