q,q2,seed,S,exp_id
0.55,0.85,3,200,586
0.65,0.85,3,200,587
0.75,0.85,3,200,588
0.85,0.85,3,200,589
0.95,0.85,3,200,590
0.05,0.95,3,200,591
0.15,0.95,3,200,592
0.25,0.95,3,200,593
0.35,0.95,3,200,594
0.45,0.95,3,200,595
0.55,0.95,3,200,596
0.65,0.95,3,200,597
0.75,0.95,3,200,598
0.85,0.95,3,200,599
0.95,0.95,3,200,600
0.05,0.05,4,200,601
0.15,0.05,4,200,602
0.25,0.05,4,200,603
0.35,0.05,4,200,604
0.45,0.05,4,200,605
0.55,0.05,4,200,606
0.65,0.05,4,200,607
0.75,0.05,4,200,608
0.85,0.05,4,200,609
0.95,0.05,4,200,610
0.05,0.15,4,200,611
0.15,0.15,4,200,612
0.25,0.15,4,200,613
0.35,0.15,4,200,614
0.45,0.15,4,200,615
0.55,0.15,4,200,616
0.65,0.15,4,200,617
0.75,0.15,4,200,618
0.85,0.15,4,200,619
0.95,0.15,4,200,620
0.05,0.25,4,200,621
0.15,0.25,4,200,622
0.25,0.25,4,200,623
0.35,0.25,4,200,624
0.45,0.25,4,200,625
0.55,0.25,4,200,626
0.65,0.25,4,200,627
0.75,0.25,4,200,628
0.85,0.25,4,200,629
0.95,0.25,4,200,630
0.05,0.35,4,200,631
0.15,0.35,4,200,632
0.25,0.35,4,200,633
0.35,0.35,4,200,634
0.45,0.35,4,200,635
0.55,0.35,4,200,636
0.65,0.35,4,200,637
0.75,0.35,4,200,638
0.85,0.35,4,200,639
0.95,0.35,4,200,640
0.05,0.45,4,200,641
0.15,0.45,4,200,642
0.25,0.45,4,200,643
0.35,0.45,4,200,644
0.45,0.45,4,200,645
0.55,0.45,4,200,646
0.65,0.45,4,200,647
0.75,0.45,4,200,648
0.85,0.45,4,200,649
0.95,0.45,4,200,650
0.05,0.55,4,200,651
0.15,0.55,4,200,652
0.25,0.55,4,200,653
0.35,0.55,4,200,654
0.45,0.55,4,200,655
0.55,0.55,4,200,656
0.65,0.55,4,200,657
0.75,0.55,4,200,658
0.85,0.55,4,200,659
0.95,0.55,4,200,660
0.05,0.65,4,200,661
0.15,0.65,4,200,662
0.25,0.65,4,200,663
0.35,0.65,4,200,664
0.45,0.65,4,200,665
0.55,0.65,4,200,666
0.65,0.65,4,200,667
