AlignmentType,ExpID1,ExpID2,ConsensusLength,BasePairGap,BasePairMismatch,AlignmentScore
global,JVN11,JVN12,659,4,14,1174.53833007813
global,JVN11,JVN13,527,0,0,174.033157348633
global,JVN11,JVN14,904,124,95,203.38037109375
global,JVN11,JVN15,782,249,0,221.855178833008
global,JVN11,JVN16,735,0,6,1626.81311035156
global,JVN11,JVN17,660,0,6,479.524658203125
global,JVN11,JVN18,534,0,11,223.832611083984
global,JVN11,JVN19,534,0,0,-525.841125488281
global,JVN11,JVN20,777,8,94,1196.07385253906
global,JVN11,JVN21,697,0,17,1282.4951171875
global,JVN11,JVN22,702,0,0,1277.18041992188
global,JVN11,JVN23,792,18,95,1065.98034667969
global,JVN11,JVN24,780,0,5,1715.39477539063
global,JVN11,JVN25,654,121,8,-314.447631835938
global,JVN11,JVN26,825,121,14,403.645812988281
global,JVN11,JVN27,661,4,10,910.554992675781
global,JVN11,JVN28,545,0,2,280.908386230469
global,JVN11,JVN30,904,122,95,168.514038085938
global,JVN11,JVN31,792,240,83,-516.922424316406
global,JVN11,JVN33,797,137,105,101.203323364258
global,JVN11,JVN34,442,1,1,-270.697662353516
global,JVN11,JVN35,826,122,88,14.126708984375
global,JVN11,JVN36,440,0,1,-267.264373779297
global,JVN11,JVN37,786,82,87,314.946655273438
global,JVN11,JVN38,241,0,82,-2106.75732421875
global,JVN11,JVN39,797,134,109,106.433837890625
global,JVN11,JVN40,706,0,0,1302.3955078125
global,JVN11,JVN41,661,0,4,1168.12329101563
global,JVN11,JVN42,782,121,4,348.123474121094
global,JVN11,JVN44,785,34,121,408.285369873047
global,JVN11,JVN46,904,130,94,312.019653320313
global,JVN12,JVN13,531,4,12,717.248168945313
global,JVN12,JVN14,891,236,80,-335.56005859375
global,JVN12,JVN15,533,4,13,705.764221191406
global,JVN12,JVN16,652,0,8,1240.55102539063
global,JVN12,JVN17,859,204,15,711.921936035156
global,JVN12,JVN18,530,0,16,646.478698730469
global,JVN12,JVN19,530,0,13,-31.6690673828125
global,JVN12,JVN20,666,11,78,626.201110839844
global,JVN12,JVN21,652,0,11,1508.80712890625
global,JVN12,JVN22,657,2,13,1503.41381835938
global,JVN12,JVN23,668,13,78,598.200866699219
global,JVN12,JVN24,657,2,16,1011.31781005859
global,JVN12,JVN25,709,180,10,27.6163330078125
global,JVN12,JVN26,655,0,14,584.543701171875
global,JVN12,JVN27,655,0,4,1628.71142578125
global,JVN12,JVN28,545,4,15,767.330078125
global,JVN12,JVN30,897,242,78,-373.799499511719
global,JVN12,JVN31,663,110,93,53.9741020202637
global,JVN12,JVN33,667,24,106,450.951751708984
global,JVN12,JVN34,531,90,10,159.745727539063
global,JVN12,JVN35,891,236,79,85.9437026977539
global,JVN12,JVN36,529,89,10,163.179016113281
global,JVN12,JVN37,789,134,80,484.841522216797
global,JVN12,JVN38,334,93,83,-1608.63720703125
global,JVN12,JVN39,667,23,107,450.901062011719
global,JVN12,JVN40,657,2,13,1487.4140625
global,JVN12,JVN41,659,4,10,1551.0078125
global,JVN12,JVN42,655,0,9,902.931884765625
global,JVN12,JVN44,669,25,106,83.5185699462891
global,JVN12,JVN46,890,235,79,-212.056335449219
global,JVN13,JVN14,767,240,64,-1280.89465332031
global,JVN13,JVN15,525,0,0,980.419494628906
global,JVN13,JVN16,527,0,4,328.852508544922
global,JVN13,JVN17,527,0,2,-16.577880859375
