Community,Isolate1,Isolate2,Fermenter1,Fermenter2,Family1,Family2,Genus1,Genus2,PairFermenter,PairFamily
C7R1,1,4,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,FF,EE
C7R1,2,3,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FN,EP
C7R1,2,4,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FN,EP
C7R1,3,4,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,FF,EE
C8R4,1,2,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FN,EP
C8R4,1,3,FALSE,FALSE,Pseudomonadaceae,Pseudomonadaceae,Pseudomonas,Pseudomonas,NN,PP
C8R4,2,3,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas,FN,EP
C10R2,1,2,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FN,EP
C10R2,1,3,FALSE,,Pseudomonadaceae,,Pseudomonas,,,
C10R2,2,3,TRUE,,Enterobacteriaceae,,Enterobacter,,,
C11R1,1,2,FALSE,FALSE,Pseudomonadaceae,Alcaligenaceae,Pseudomonas,Achromobacter,NN,
C11R1,1,3,FALSE,FALSE,Pseudomonadaceae,Moraxellaceae,Pseudomonas,Acinetobacter,NN,
C11R1,1,4,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Pantoea,FN,EP
C11R1,1,5,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FN,EP
C11R1,1,6,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Raoultella,FN,EP
C11R1,1,7,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Raoultella,FN,EP
C11R1,1,8,FALSE,FALSE,Pseudomonadaceae,Alcaligenaceae,Pseudomonas,Achromobacter,NN,
C11R1,1,9,FALSE,FALSE,Pseudomonadaceae,Comamonadaceae,Pseudomonas,Delftia,NN,
C11R1,2,3,FALSE,FALSE,Alcaligenaceae,Moraxellaceae,Achromobacter,Acinetobacter,NN,
C11R1,2,4,FALSE,TRUE,Alcaligenaceae,Enterobacteriaceae,Achromobacter,Pantoea,FN,
C11R1,2,5,FALSE,TRUE,Alcaligenaceae,Enterobacteriaceae,Achromobacter,Enterobacter,FN,
C11R1,2,6,FALSE,TRUE,Alcaligenaceae,Enterobacteriaceae,Achromobacter,Raoultella,FN,
C11R1,2,7,FALSE,TRUE,Alcaligenaceae,Enterobacteriaceae,Achromobacter,Raoultella,FN,
C11R1,2,8,FALSE,FALSE,Alcaligenaceae,Alcaligenaceae,Achromobacter,Achromobacter,NN,
C11R1,2,9,FALSE,FALSE,Alcaligenaceae,Comamonadaceae,Achromobacter,Delftia,NN,
C11R1,3,4,FALSE,TRUE,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Pantoea,FN,
C11R1,3,5,FALSE,TRUE,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Enterobacter,FN,
C11R1,3,6,FALSE,TRUE,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Raoultella,FN,
C11R1,3,7,FALSE,TRUE,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Raoultella,FN,
C11R1,3,8,FALSE,FALSE,Moraxellaceae,Alcaligenaceae,Acinetobacter,Achromobacter,NN,
C11R1,3,9,FALSE,FALSE,Moraxellaceae,Comamonadaceae,Acinetobacter,Delftia,NN,
C11R1,4,5,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Pantoea,Enterobacter,FF,EE
C11R1,4,6,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Pantoea,Raoultella,FF,EE
C11R1,4,7,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Pantoea,Raoultella,FF,EE
C11R1,4,8,TRUE,FALSE,Enterobacteriaceae,Alcaligenaceae,Pantoea,Achromobacter,FN,
C11R1,4,9,TRUE,FALSE,Enterobacteriaceae,Comamonadaceae,Pantoea,Delftia,FN,
C11R1,5,6,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Raoultella,FF,EE
C11R1,5,7,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Raoultella,FF,EE
C11R1,5,8,TRUE,FALSE,Enterobacteriaceae,Alcaligenaceae,Enterobacter,Achromobacter,FN,
C11R1,5,9,TRUE,FALSE,Enterobacteriaceae,Comamonadaceae,Enterobacter,Delftia,FN,
C11R1,6,7,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Raoultella,FF,EE
C11R1,6,8,TRUE,FALSE,Enterobacteriaceae,Alcaligenaceae,Raoultella,Achromobacter,FN,
C11R1,6,9,TRUE,FALSE,Enterobacteriaceae,Comamonadaceae,Raoultella,Delftia,FN,
C11R1,7,8,TRUE,FALSE,Enterobacteriaceae,Alcaligenaceae,Raoultella,Achromobacter,FN,
C11R1,7,9,TRUE,FALSE,Enterobacteriaceae,Comamonadaceae,Raoultella,Delftia,FN,
C11R1,8,9,FALSE,FALSE,Alcaligenaceae,Comamonadaceae,Achromobacter,Delftia,NN,
C11R2,1,2,TRUE,FALSE,Aeromonadaceae,Moraxellaceae,Aeromonas,Acinetobacter,FN,
C11R2,1,3,TRUE,TRUE,Aeromonadaceae,Enterobacteriaceae,Aeromonas,Enterobacter,FF,
C11R2,1,4,TRUE,TRUE,Aeromonadaceae,Enterobacteriaceae,Aeromonas,Raoultella,FF,
C11R2,1,5,TRUE,TRUE,Aeromonadaceae,Enterobacteriaceae,Aeromonas,Salmonella,FF,
C11R2,1,6,TRUE,TRUE,Aeromonadaceae,Enterobacteriaceae,Aeromonas,Enterobacter,FF,
C11R2,1,7,TRUE,TRUE,Aeromonadaceae,Enterobacteriaceae,Aeromonas,Enterobacter,FF,
C11R2,1,8,TRUE,FALSE,Aeromonadaceae,Moraxellaceae,Aeromonas,Acinetobacter,FN,
C11R2,1,9,TRUE,FALSE,Aeromonadaceae,Xanthomonadaceae,Aeromonas,Stenotrophomonas,FN,
C11R2,1,10,TRUE,FALSE,Aeromonadaceae,Pseudomonadaceae,Aeromonas,Pseudomonas,FN,
C11R2,1,11,TRUE,TRUE,Aeromonadaceae,Enterobacteriaceae,Aeromonas,Serratia,FF,
C11R2,1,12,TRUE,TRUE,Aeromonadaceae,Enterobacteriaceae,Aeromonas,Enterobacter,FF,
C11R2,2,3,FALSE,TRUE,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Enterobacter,FN,
C11R2,2,4,FALSE,TRUE,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Raoultella,FN,
C11R2,2,5,FALSE,TRUE,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Salmonella,FN,
C11R2,2,6,FALSE,TRUE,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Enterobacter,FN,
