Sample,Mixture,Time,Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,Isolate1FreqPredicted,Isolate2FreqPredicted,RSquare
197,AcrAss1_95_5_5_1,T3,AcrAss1,1,5,0.05,0.95,0.0388247483061919,0.961175251693808,0.957574666438688
198,AcrAss1_95_5_6_1,T3,AcrAss1,1,6,0.05,0.95,0.247119975521657,0.752880024478343,0.866508706960359
199,AcrAss1_95_5_7_1,T3,AcrAss1,1,7,0.05,0.95,0.0478562950485047,0.952143704951495,0.953298282660339
200,AcrAss1_95_5_8_1,T3,AcrAss1,1,8,0.05,0.95,0.0360694886275569,0.963930511372443,0.959134911841472
201,AcrAss1_95_5_1_2,T3,AcrAss1,1,2,0.95,0.05,0.095284229735733,0.904715770264267,0.942075880410475
203,AcrAss1_95_5_3_2,T3,AcrAss1,2,3,0.05,0.95,0.0437874341147661,0.956212565885234,0.948016131437196
204,AcrAss1_95_5_4_2,T3,AcrAss1,2,4,0.05,0.95,0.202014503656852,0.797985496343148,0.819677505271019
205,AcrAss1_95_5_5_2,T3,AcrAss1,2,5,0.05,0.95,0.137528445949643,0.862471554050358,0.732575989865672
206,AcrAss1_95_5_6_2,T3,AcrAss1,2,6,0.05,0.95,0.945925551461341,0.0540744485386593,0.952401510016495
207,AcrAss1_95_5_7_2,T3,AcrAss1,2,7,0.05,0.95,0.26751071647036,0.73248928352964,0.77442310876774
208,AcrAss1_95_5_8_2,T3,AcrAss1,2,8,0.05,0.95,0.0523786216700401,0.94762137832996,0.948744651859578
209,AcrAss1_95_5_1_3,T3,AcrAss1,1,3,0.95,0.05,0.0196999215280671,0.980300078471933,0.954114697616802
210,AcrAss1_95_5_2_3,T3,AcrAss1,2,3,0.95,0.05,0.365311276185017,0.634688723814983,0.952396525994618
212,AcrAss1_95_5_4_3,T3,AcrAss1,3,4,0.05,0.95,0.171081378580694,0.828918621419306,0.95185691711496
213,AcrAss1_95_5_5_3,T3,AcrAss1,3,5,0.05,0.95,0.0687326882202199,0.93126731177978,0.943921057527597
214,AcrAss1_95_5_6_3,T3,AcrAss1,3,6,0.05,0.95,0.997458484855265,0.00254151514473537,0.978413316172926
215,AcrAss1_95_5_7_3,T3,AcrAss1,3,7,0.05,0.95,0.22015898124217,0.77984101875783,0.763152238346516
216,AcrAss1_95_5_8_3,T3,AcrAss1,3,8,0.05,0.95,0.898947907985042,0.101052092014958,0.934768548441708
217,AcrAss1_95_5_1_4,T3,AcrAss1,1,4,0.95,0.05,0.0672434220919125,0.932756577908087,0.94606354083022
218,AcrAss1_95_5_2_4,T3,AcrAss1,2,4,0.95,0.05,0.87761196221266,0.12238803778734,0.922426450898036
219,AcrAss1_95_5_3_4,T3,AcrAss1,3,4,0.95,0.05,0.84285877270099,0.15714122729901,0.94929916101937
221,AcrAss1_95_5_5_4,T3,AcrAss1,4,5,0.05,0.95,0.0739213962088998,0.9260786037911,0.956051731985026
222,AcrAss1_95_5_6_4,T3,AcrAss1,4,6,0.05,0.95,0.885032567641762,0.114967432358239,0.945687390228914
223,AcrAss1_95_5_7_4,T3,AcrAss1,4,7,0.05,0.95,0.160568935526388,0.839431064473612,0.776980672237569
224,AcrAss1_95_5_8_4,T3,AcrAss1,4,8,0.05,0.95,0.0985043121293877,0.901495687870612,0.948005224440683
