Batch,Community,Isolate1,Isolate2,Freq1,Freq2,image_name_pair,image_name_isolate1,image_name_isolate2
B2,C2R6,2,1,95,5,B2_T8_C2R6_5-95_2_1,B2_T8_C2R6_2,B2_T8_C2R6_1
B2,C2R6,2,3,95,5,B2_T8_C2R6_5-95_2_3,B2_T8_C2R6_2,B2_T8_C2R6_3
B2,C2R6,2,4,95,5,B2_T8_C2R6_5-95_2_4,B2_T8_C2R6_2,B2_T8_C2R6_4
B2,C2R6,3,1,95,5,B2_T8_C2R6_5-95_3_1,B2_T8_C2R6_3,B2_T8_C2R6_1
B2,C2R6,3,2,95,5,B2_T8_C2R6_5-95_3_2,B2_T8_C2R6_3,B2_T8_C2R6_2
B2,C2R6,3,4,95,5,B2_T8_C2R6_5-95_3_4,B2_T8_C2R6_3,B2_T8_C2R6_4
B2,C2R6,4,1,95,5,B2_T8_C2R6_5-95_4_1,B2_T8_C2R6_4,B2_T8_C2R6_1
B2,C2R6,4,2,95,5,B2_T8_C2R6_5-95_4_2,B2_T8_C2R6_4,B2_T8_C2R6_2
B2,C2R6,4,3,95,5,B2_T8_C2R6_5-95_4_3,B2_T8_C2R6_4,B2_T8_C2R6_3
B2,C2R6,1,2,50,50,B2_T8_C2R6_50-50_1_2,B2_T8_C2R6_1,B2_T8_C2R6_2
B2,C2R6,1,3,50,50,B2_T8_C2R6_50-50_1_3,B2_T8_C2R6_1,B2_T8_C2R6_3
B2,C2R6,1,4,50,50,B2_T8_C2R6_50-50_1_4,B2_T8_C2R6_1,B2_T8_C2R6_4
B2,C2R6,2,3,50,50,B2_T8_C2R6_50-50_2_3,B2_T8_C2R6_2,B2_T8_C2R6_3
B2,C2R6,2,4,50,50,B2_T8_C2R6_50-50_2_4,B2_T8_C2R6_2,B2_T8_C2R6_4
B2,C2R6,3,4,50,50,B2_T8_C2R6_50-50_3_4,B2_T8_C2R6_3,B2_T8_C2R6_4
B2,C2R8,1,2,95,5,B2_T8_C2R8_5-95_1_2,B2_T8_C2R8_1,B2_T8_C2R8_2
B2,C2R8,1,3,95,5,B2_T8_C2R8_5-95_1_3,B2_T8_C2R8_1,B2_T8_C2R8_3
B2,C2R8,1,4,95,5,B2_T8_C2R8_5-95_1_4,B2_T8_C2R8_1,B2_T8_C2R8_4
B2,C2R8,2,1,95,5,B2_T8_C2R8_5-95_2_1,B2_T8_C2R8_2,B2_T8_C2R8_1
B2,C2R8,2,3,95,5,B2_T8_C2R8_5-95_2_3,B2_T8_C2R8_2,B2_T8_C2R8_3
B2,C2R8,2,4,95,5,B2_T8_C2R8_5-95_2_4,B2_T8_C2R8_2,B2_T8_C2R8_4
B2,C2R8,3,1,95,5,B2_T8_C2R8_5-95_3_1,B2_T8_C2R8_3,B2_T8_C2R8_1
B2,C2R8,3,2,95,5,B2_T8_C2R8_5-95_3_2,B2_T8_C2R8_3,B2_T8_C2R8_2
B2,C2R8,3,4,95,5,B2_T8_C2R8_5-95_3_4,B2_T8_C2R8_3,B2_T8_C2R8_4
B2,C2R8,4,1,95,5,B2_T8_C2R8_5-95_4_1,B2_T8_C2R8_4,B2_T8_C2R8_1
B2,C2R8,4,2,95,5,B2_T8_C2R8_5-95_4_2,B2_T8_C2R8_4,B2_T8_C2R8_2
B2,C2R8,4,3,95,5,B2_T8_C2R8_5-95_4_3,B2_T8_C2R8_4,B2_T8_C2R8_3
B2,C2R8,1,2,50,50,B2_T8_C2R8_50-50_1_2,B2_T8_C2R8_1,B2_T8_C2R8_2
B2,C2R8,1,3,50,50,B2_T8_C2R8_50-50_1_3,B2_T8_C2R8_1,B2_T8_C2R8_3
B2,C2R8,1,4,50,50,B2_T8_C2R8_50-50_1_4,B2_T8_C2R8_1,B2_T8_C2R8_4
B2,C2R8,2,3,50,50,B2_T8_C2R8_50-50_2_3,B2_T8_C2R8_2,B2_T8_C2R8_3
B2,C2R8,2,4,50,50,B2_T8_C2R8_50-50_2_4,B2_T8_C2R8_2,B2_T8_C2R8_4
B2,C2R8,3,4,50,50,B2_T8_C2R8_50-50_3_4,B2_T8_C2R8_3,B2_T8_C2R8_4
B2,C7R1,1,2,95,5,B2_T8_C7R1_5-95_1_2,B2_T8_C7R1_1,B2_T8_C7R1_2
B2,C7R1,1,3,95,5,B2_T8_C7R1_5-95_1_3,B2_T8_C7R1_1,B2_T8_C7R1_3
B2,C7R1,1,4,95,5,B2_T8_C7R1_5-95_1_4,B2_T8_C7R1_1,B2_T8_C7R1_4
B2,C7R1,2,1,95,5,B2_T8_C7R1_5-95_2_1,B2_T8_C7R1_2,B2_T8_C7R1_1
B2,C7R1,2,3,95,5,B2_T8_C7R1_5-95_2_3,B2_T8_C7R1_2,B2_T8_C7R1_3
B2,C7R1,2,4,95,5,B2_T8_C7R1_5-95_2_4,B2_T8_C7R1_2,B2_T8_C7R1_4
B2,C7R1,3,1,95,5,B2_T8_C7R1_5-95_3_1,B2_T8_C7R1_3,B2_T8_C7R1_1
B2,C7R1,3,2,95,5,B2_T8_C7R1_5-95_3_2,B2_T8_C7R1_3,B2_T8_C7R1_2
B2,C7R1,3,4,95,5,B2_T8_C7R1_5-95_3_4,B2_T8_C7R1_3,B2_T8_C7R1_4
B2,C7R1,4,1,95,5,B2_T8_C7R1_5-95_4_1,B2_T8_C7R1_4,B2_T8_C7R1_1
B2,C7R1,4,2,95,5,B2_T8_C7R1_5-95_4_2,B2_T8_C7R1_4,B2_T8_C7R1_2
B2,C7R1,4,3,95,5,B2_T8_C7R1_5-95_4_3,B2_T8_C7R1_4,B2_T8_C7R1_3
B2,C7R1,1,2,50,50,B2_T8_C7R1_50-50_1_2,B2_T8_C7R1_1,B2_T8_C7R1_2
B2,C7R1,1,3,50,50,B2_T8_C7R1_50-50_1_3,B2_T8_C7R1_1,B2_T8_C7R1_3
B2,C7R1,1,4,50,50,B2_T8_C7R1_50-50_1_4,B2_T8_C7R1_1,B2_T8_C7R1_4
B2,C7R1,2,3,50,50,B2_T8_C7R1_50-50_2_3,B2_T8_C7R1_2,B2_T8_C7R1_3
B2,C7R1,2,4,50,50,B2_T8_C7R1_50-50_2_4,B2_T8_C7R1_2,B2_T8_C7R1_4
B2,C7R1,3,4,50,50,B2_T8_C7R1_50-50_3_4,B2_T8_C7R1_3,B2_T8_C7R1_4
B2,C8R4,1,2,95,5,B2_T8_C8R4_5-95_1_2,B2_T8_C8R4_1,B2_T8_C8R4_2
B2,C8R4,1,3,95,5,B2_T8_C8R4_5-95_1_3,B2_T8_C8R4_1,B2_T8_C8R4_3
B2,C8R4,2,1,95,5,B2_T8_C8R4_5-95_2_1,B2_T8_C8R4_2,B2_T8_C8R4_1
B2,C8R4,2,3,95,5,B2_T8_C8R4_5-95_2_3,B2_T8_C8R4_2,B2_T8_C8R4_3
B2,C8R4,3,1,95,5,B2_T8_C8R4_5-95_3_1,B2_T8_C8R4_3,B2_T8_C8R4_1
B2,C8R4,3,2,95,5,B2_T8_C8R4_5-95_3_2,B2_T8_C8R4_3,B2_T8_C8R4_2
B2,C8R4,1,2,50,50,B2_T8_C8R4_50-50_1_2,B2_T8_C8R4_1,B2_T8_C8R4_2
B2,C8R4,1,3,50,50,B2_T8_C8R4_50-50_1_3,B2_T8_C8R4_1,B2_T8_C8R4_3
B2,C8R4,2,3,50,50,B2_T8_C8R4_50-50_2_3,B2_T8_C8R4_2,B2_T8_C8R4_3
