Batch,Community,Isolate1,Isolate2,Freq1,Freq2,image_name_pair,image_name_isolate1,image_name_isolate2
D,C1R7,1,6,50,50,D_T8_C1R7_50-50_1_6,D_T8_C1R7_1,D_T8_C1R7_6
D,C1R7,1,7,50,50,D_T8_C1R7_50-50_1_7,D_T8_C1R7_1,D_T8_C1R7_7
D,C1R7,2,3,50,50,D_T8_C1R7_50-50_2_3,D_T8_C1R7_2,D_T8_C1R7_3
D,C1R7,2,4,50,50,D_T8_C1R7_50-50_2_4,D_T8_C1R7_2,D_T8_C1R7_4
D,C1R7,2,5,50,50,D_T8_C1R7_50-50_2_5,D_T8_C1R7_2,D_T8_C1R7_5
D,C1R7,2,6,50,50,D_T8_C1R7_50-50_2_6,D_T8_C1R7_2,D_T8_C1R7_6
D,C1R7,2,7,50,50,D_T8_C1R7_50-50_2_7,D_T8_C1R7_2,D_T8_C1R7_7
D,C1R7,3,4,50,50,D_T8_C1R7_50-50_3_4,D_T8_C1R7_3,D_T8_C1R7_4
D,C1R7,3,5,50,50,D_T8_C1R7_50-50_3_5,D_T8_C1R7_3,D_T8_C1R7_5
D,C1R7,3,6,50,50,D_T8_C1R7_50-50_3_6,D_T8_C1R7_3,D_T8_C1R7_6
D,C1R7,3,7,50,50,D_T8_C1R7_50-50_3_7,D_T8_C1R7_3,D_T8_C1R7_7
D,C1R7,4,5,50,50,D_T8_C1R7_50-50_4_5,D_T8_C1R7_4,D_T8_C1R7_5
D,C1R7,4,6,50,50,D_T8_C1R7_50-50_4_6,D_T8_C1R7_4,D_T8_C1R7_6
D,C1R7,4,7,50,50,D_T8_C1R7_50-50_4_7,D_T8_C1R7_4,D_T8_C1R7_7
D,C1R7,5,6,50,50,D_T8_C1R7_50-50_5_6,D_T8_C1R7_5,D_T8_C1R7_6
D,C1R7,5,7,50,50,D_T8_C1R7_50-50_5_7,D_T8_C1R7_5,D_T8_C1R7_7
D,C1R7,6,7,50,50,D_T8_C1R7_50-50_6_7,D_T8_C1R7_6,D_T8_C1R7_7
D,C4R1,1,2,95,5,D_T8_C4R1_5-95_1_2,D_T8_C4R1_1,D_T8_C4R1_2
D,C4R1,1,3,95,5,D_T8_C4R1_5-95_1_3,D_T8_C4R1_1,D_T8_C4R1_3
D,C4R1,2,1,95,5,D_T8_C4R1_5-95_2_1,D_T8_C4R1_2,D_T8_C4R1_1
D,C4R1,2,3,95,5,D_T8_C4R1_5-95_2_3,D_T8_C4R1_2,D_T8_C4R1_3
D,C4R1,3,1,95,5,D_T8_C4R1_5-95_3_1,D_T8_C4R1_3,D_T8_C4R1_1
D,C4R1,3,2,95,5,D_T8_C4R1_5-95_3_2,D_T8_C4R1_3,D_T8_C4R1_2
D,C4R1,1,2,50,50,D_T8_C4R1_50-50_1_2,D_T8_C4R1_1,D_T8_C4R1_2
D,C4R1,1,3,50,50,D_T8_C4R1_50-50_1_3_-4,D_T8_C4R1_1,D_T8_C4R1_3
D,C4R1,2,3,50,50,D_T8_C4R1_50-50_2_3,D_T8_C4R1_2,D_T8_C4R1_3
