Community,Isolate1,Isolate2,InteractionType,From,To,CarbonSource,GrowthRateVariable,PairGrowthRateVariable
C1R4,1,2,exclusion,2,1,formate,LagTime,2.05311891451477
C1R4,1,2,exclusion,2,1,formate,MaxGrowthRate,0.0019594440166999
C1R4,1,2,exclusion,2,1,formate,MaxOD,0.0023833637974725
C1R4,1,2,exclusion,2,1,glucose,LagTime,2.3284024015468
C1R4,1,2,exclusion,2,1,glucose,MaxGrowthRate,0.176046848376901
C1R4,1,2,exclusion,2,1,glucose,MaxOD,0.159834583846727
C1R4,1,2,exclusion,2,1,glycerol,LagTime,3.70948398987384
C1R4,1,2,exclusion,2,1,glycerol,MaxGrowthRate,0.08181071857799
C1R4,1,2,exclusion,2,1,glycerol,MaxOD,0.092320462194504
C1R4,1,2,exclusion,2,1,inositol,LagTime,0.074386305783203
C1R4,1,2,exclusion,2,1,inositol,MaxGrowthRate,0.00194605467395067
C1R4,1,2,exclusion,2,1,inositol,MaxOD,0.0049495267294665
C1R4,1,2,exclusion,2,1,Lglutamate,LagTime,11.0434476703147
C1R4,1,2,exclusion,2,1,Lglutamate,MaxGrowthRate,0.253334681146815
C1R4,1,2,exclusion,2,1,Lglutamate,MaxOD,0.229692101197243
C1R4,1,2,exclusion,2,1,phenylalanine,LagTime,0.066258465574002
C1R4,1,2,exclusion,2,1,phenylalanine,MaxGrowthRate,0.00048147908274678
C1R4,1,2,exclusion,2,1,phenylalanine,MaxOD,0.0120830672486006
C1R4,1,2,exclusion,2,1,succinate,LagTime,14.0379750726931
C1R4,1,2,exclusion,2,1,succinate,MaxGrowthRate,0.024952184358962
C1R4,1,2,exclusion,2,1,succinate,MaxOD,0.290323997750972
C1R4,1,3,coexistence,1,3,acetate,LagTime,15.9768961639905
C1R4,1,3,coexistence,1,3,acetate,MaxGrowthRate,0.247588059454959
C1R4,1,3,coexistence,1,3,acetate,MaxOD,0.031886871218704
C1R4,1,3,coexistence,1,3,arginine,LagTime,6.98640285584012
C1R4,1,3,coexistence,1,3,arginine,MaxGrowthRate,0.0883652067102727
C1R4,1,3,coexistence,1,3,arginine,MaxOD,0.444026409748798
C1R4,1,3,coexistence,1,3,citrate,LagTime,1.00504308718606
C1R4,1,3,coexistence,1,3,citrate,MaxGrowthRate,0.049100235573439
C1R4,1,3,coexistence,1,3,citrate,MaxOD,0.292835260520343
C1R4,1,3,coexistence,1,3,Darabinose,LagTime,16.9806529284844
C1R4,1,3,coexistence,1,3,Darabinose,MaxGrowthRate,0.00920490094210495
C1R4,1,3,coexistence,1,3,Darabinose,MaxOD,0.0630004102516632
C1R4,1,3,coexistence,1,3,formate,LagTime,1.99782877722223
C1R4,1,3,coexistence,1,3,formate,MaxGrowthRate,0.000312394837345149
C1R4,1,3,coexistence,1,3,formate,MaxOD,0.0205840211160724
C1R4,1,3,coexistence,1,3,glucose,LagTime,2.06418091420748
