Assembly,Family,ID,Abundance,Transfer,Time,Community
self_assembly,F0,S312,1,0,0,W13
self_assembly,F0,S314,1,0,0,W9
self_assembly,F0,S314,1,0,0,W14
self_assembly,F0,S315,1,0,0,W2
self_assembly,F0,S315,1,0,0,W3
self_assembly,F0,S315,1,0,0,W8
self_assembly,F0,S315,1,0,0,W12
self_assembly,F0,S319,1,0,0,W11
self_assembly,F0,S321,1,0,0,W17
self_assembly,F0,S322,1,0,0,W17
self_assembly,F0,S323,1,0,0,W7
self_assembly,F0,S324,1,0,0,W16
self_assembly,F0,S325,1,0,0,W0
self_assembly,F0,S325,1,0,0,W1
self_assembly,F0,S325,1,0,0,W19
self_assembly,F0,S326,1,0,0,W3
self_assembly,F0,S326,1,0,0,W6
self_assembly,F0,S326,1,0,0,W16
self_assembly,F0,S327,1,0,0,W13
self_assembly,F0,S328,1,0,0,W2
self_assembly,F0,S328,1,0,0,W8
self_assembly,F0,S328,1,0,0,W16
self_assembly,F0,S329,1,0,0,W0
self_assembly,F0,S329,1,0,0,W10
self_assembly,F0,S329,1,0,0,W19
self_assembly,F0,S333,1,0,0,W6
self_assembly,F0,S335,1,0,0,W5
self_assembly,F0,S335,1,0,0,W6
self_assembly,F0,S337,1,0,0,W6
self_assembly,F0,S338,1,0,0,W2
self_assembly,F0,S338,1,0,0,W19
self_assembly,F0,S339,1,0,0,W12
self_assembly,F0,S340,1,0,0,W15
self_assembly,F0,S341,1,0,0,W13
self_assembly,F0,S341,1,0,0,W19
self_assembly,F0,S342,1,0,0,W0
self_assembly,F0,S342,1,0,0,W15
self_assembly,F0,S344,1,0,0,W1
self_assembly,F0,S344,1,0,0,W18
self_assembly,F0,S345,1,0,0,W2
self_assembly,F0,S345,1,0,0,W8
self_assembly,F0,S347,1,0,0,W14
self_assembly,F0,S348,1,0,0,W5
self_assembly,F0,S348,1,0,0,W7
self_assembly,F0,S348,1,0,0,W16
self_assembly,F0,S350,1,0,0,W17
self_assembly,F0,S351,1,0,0,W16
self_assembly,F0,S353,1,0,0,W7
self_assembly,F0,S353,1,0,0,W16
self_assembly,F0,S353,1,0,0,W18
self_assembly,F0,S354,1,0,0,W3
self_assembly,F0,S355,1,0,0,W3
self_assembly,F0,S355,1,0,0,W5
self_assembly,F0,S356,1,0,0,W7
self_assembly,F0,S356,1,0,0,W9
self_assembly,F0,S357,1,0,0,W4
self_assembly,F0,S358,1,0,0,W3
self_assembly,F0,S359,1,0,0,W13
self_assembly,F0,S360,1,0,0,W3
self_assembly,F0,S360,1,0,0,W17
self_assembly,F0,S361,1,0,0,W14
self_assembly,F0,S362,1,0,0,W15
self_assembly,F0,S364,1,0,0,W18
self_assembly,F0,S366,1,0,0,W15
self_assembly,F0,S367,1,0,0,W11
self_assembly,F0,S368,1,0,0,W3
self_assembly,F0,S370,1,0,0,W1
self_assembly,F0,S370,1,0,0,W16
self_assembly,F0,S374,1,0,0,W1
self_assembly,F0,S374,1,0,0,W9
self_assembly,F0,S375,1,0,0,W19
self_assembly,F0,S376,1,0,0,W3
self_assembly,F0,S376,1,0,0,W8
self_assembly,F0,S376,1,0,0,W13
self_assembly,F0,S376,1,0,0,W14
self_assembly,F0,S376,1,0,0,W17
self_assembly,F0,S377,1,0,0,W1
self_assembly,F0,S379,1,0,0,W14
self_assembly,F0,S380,1,0,0,W5
self_assembly,F0,S380,1,0,0,W9
self_assembly,F0,S381,1,0,0,W0
