ExpID,ID,Community,Isolate,SID,K,T_mid,R,CS,maxOD,R16,R24,R48,RUpper,RMid,RLow,R16_water,R24_water,R48_water,RUpper_water,RMid_water,RLow_water,Family,SangerID
11.2.B.3,348,C11R2,7,348_Fumarate,0.322528453293177,28.5271273298389,0.180461373788665,Fumarate,0.325,0.0320353231641627,0.0488207506689489,0.045555613733262,0.0570981369921738,0.0421273386009322,0.0360671143089232,0.00152583212882979,0.00294860982590911,0.00240066753532322,0.00304424329416035,0.00329980065380223,0.00267098134344823,Enterobacteriaceae,348
11.2.B.3,348,C11R2,7,348_Gluconate,0.466644117519699,15.7049124866977,0.13295042278296,Gluconate,0.49,0.131873035492275,0.0916262155963872,0.0543988341540801,0.112310720422988,0.140544405208125,0.177515106353831,0.00152585896655676,0.00294864402577486,0.00240069536043924,0.00252653802253501,0.00322404152460073,0.0020571289674093,Enterobacteriaceae,348
11.2.B.3,348,C11R2,7,348_Glycerol,0.473435967105901,18.0234217893698,0.172860972867346,Glycerol,0.495,0.116959130958602,0.0937351472438028,0.0529974632957578,0.0937351472438028,0.1133404042599,0.11848094353165,0.00152585896655676,0.00294867822643397,0.00240069536043924,0.00294867822643397,0.00274971095582327,0.00322410214853643,Enterobacteriaceae,348
11.2.B.3,348,C11R2,7,348_L-Arabinose,0.429803674979564,13.2220054575013,0.23856039038793,L-Arabinose,0.48,0.13400147488812,0.0960401668579668,0.0533919139134426,0.106532640816411,0.13400147488812,0.159790151441251,0.00152585896655676,0.00294864402577486,0.00240069536043924,0.00329984348554966,0.00152585896655676,0.00189243658918038,Enterobacteriaceae,348
11.2.B.3,348,C11R2,7,348_L-Glutamine,0.409946886638084,30.1662274459221,0.159105623653796,L-Glutamine,0.4,0.0430936474842773,0.054346489411523,0.0498840577408723,0.0585598038816993,0.0601640725497763,0.049045414823626,0.00152585896655676,0.00294864402577486,0.00240066753532322,0.00257228896354584,0.00251935666121845,0.00355387986090853,Enterobacteriaceae,348
11.2.B.3,348,C11R2,7,348_L-Leucine,0.0078336557828357,13.5402768350805,0.12948554115407,L-Leucine,0.008,0.00457926975088652,0.00583570707451544,0.00336446488337857,0.00453185977900667,0.00342073716107961,0.00532304727732689,0.00152583212882979,0.00294860982590911,0.0024006397108522,0.00271710531796665,0.00333925986642483,0,Enterobacteriaceae,348
11.2.B.3,348,C11R2,7,348_L-Malate,0.444537869786605,22.1273895511423,0.108024922648884,L-Malate,0.425,0.107498546662337,0.0829001523036214,0.0516627112313484,0.0942989548354627,0.0986150193728507,0.105843280704607,0.00152583212882979,0.00294860982590911,0.00240065362300709,0.00355387986090853,0.00259679191193609,0.00292151811006008,Enterobacteriaceae,348
11.2.B.3,348,C11R2,7,348_L-Phenylalanine,0.0179288265038758,26.2695992071079,0.108389508604206,L-Phenylalanine,0.016,0.00457926975088652,0.00673369054427198,0.0070197097297494,0.00684081397199314,0.0067502196169922,0.00550245597600219,0.00152583212882979,0.00294860982590911,0.00240065362300709,0.00285383226635138,0.00176336685721516,0.00274966685955572,Enterobacteriaceae,348
11.2.B.3,348,C11R2,7,348_Pyruvate,0.496569253543604,23.7373918930999,0.115432210959971,Pyruvate,0.476,0.107795123173194,0.082456736221378,0.0538392556319918,0.0881628008841019,0.0939007925547562,0.099878720305362,0.00152583212882979,0.00294860982590911,0.00240069536043924,0.00227988426935771,0.00252650079365381,0.00274962276470245,Enterobacteriaceae,348
11.2.B.3,348,C11R2,7,348_Succinate,0.414550393704649,35.7215304303907,0.122136454975059,Succinate,0.34,0.039693824083078,0.0479603070504301,0.0471643926877396,0.0495434397927489,0.0472338882213965,0.043167915804241,0.00152580529204689,0.00294860982590911,0.00240066753532322,0.00234850429999567,0.00301280195743392,0.00252650079365381,Enterobacteriaceae,348
