Community,Isolate1,Isolate2,Isolate1InitialODFreq,Isolate2InitialODFreq,Time,Isolate1MeasuredFreq,ErrorIsolate1MeasuredFreq,RawDataType,Contamination,Fermenter1,Fermenter2,Family1,Family2,Genus1,Genus2,PairFermenter,PairFamily,SeqDifference,SeqLength,PairTreeDistance
C1R7,2,4,95,5,T0,0.830705099205067,0.0434369088629386,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Serratia,FN,EP,108,886,0.360268698222228
C1R7,2,5,5,95,T0,0.0394035588432303,0.0124008605576793,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FN,EP,71,653,0.353227890959159
C1R7,2,5,50,50,T0,0.43800582712852,0.0806467932872201,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FN,EP,71,653,0.353227890959159
C1R7,2,5,95,5,T0,0.936741609882301,0.0194139251013551,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FN,EP,71,653,0.353227890959159
C1R7,2,6,5,95,T0,0.0342710175212987,0.0109325656916211,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Citrobacter,FN,EP,76,653,0.386130537130109
C1R7,2,6,50,50,T0,0.402720060445787,0.0794549618407804,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Citrobacter,FN,EP,76,653,0.386130537130109
C1R7,2,6,95,5,T0,0.92759331348752,0.0221858521500448,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Citrobacter,FN,EP,76,653,0.386130537130109
C1R7,2,7,5,95,T0,0.00572472042589819,0.00172071763251496,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Raoultella,FN,EP,76,648,0.385921395641115
C1R7,2,7,50,50,T0,0.0986085710741253,0.0268705635411557,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Raoultella,FN,EP,76,648,0.385921395641115
C1R7,2,7,95,5,T0,0.67516890795688,0.0663007912927751,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Raoultella,FN,EP,76,648,0.385921395641115
C1R7,3,4,5,95,T0,0.0118479766117864,0.00366565761266678,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Serratia,FF,EE,33,793,0.197279859257461
C1R7,3,4,50,50,T0,0.185542168674699,0.0473146004696623,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Serratia,FF,EE,33,793,0.197279859257461
C1R7,3,4,95,5,T0,0.812326485285952,0.0477328698110108,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Serratia,FF,EE,33,793,0.197279859257461
C1R7,3,5,5,95,T0,0.0349206349206349,0.0111759950745629,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,FF,EE,9,654,0.127219038757018
C1R7,3,5,50,50,T0,0.407407407407407,0.0800619530195294,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,FF,EE,9,654,0.127219038757018
C1R7,3,5,95,5,T0,0.928888888888889,0.0219049503461433,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,FF,EE,9,654,0.127219038757018
C1R7,3,6,5,95,T0,0.0303535690460306,0.00983884054252415,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Citrobacter,FF,EE,11,671,0.160121684927969
C1R7,3,6,50,50,T0,0.37295081967213,0.0781760864294133,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Citrobacter,FF,EE,11,671,0.160121684927969
C1R7,3,6,95,5,T0,0.918703506907545,0.0249670908104098,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Citrobacter,FF,EE,11,671,0.160121684927969
C1R7,3,7,5,95,T0,0.00505326528381525,0.00154167265148473,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Raoultella,FF,EE,7,650,0.124292061411646
C1R7,3,7,50,50,T0,0.0880070288475617,0.0246109903138242,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Raoultella,FF,EE,7,650,0.124292061411646
C1R7,3,7,95,5,T0,0.647078823596078,0.0700253268320166,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Raoultella,FF,EE,7,650,0.124292061411646
