Assembly,Community,ID1,ID2,Isolate1MeasuredFreq,Assembly1,Family1,Isolate1,Assembly2,Family2,Isolate2
self_assembly,W4,S420,S839,0.3305740106466389,self_assembly,F0,3,self_assembly,F1,5
self_assembly,W4,S420,S991,0.0025771105724609602,self_assembly,F0,3,self_assembly,F1,6
self_assembly,W4,S420,S991,0.1889777319233084,self_assembly,F0,3,self_assembly,F1,6
self_assembly,W4,S503,S839,0.8886823626600578,self_assembly,F1,4,self_assembly,F1,5
self_assembly,W4,S503,S839,0.9993178778821903,self_assembly,F1,4,self_assembly,F1,5
self_assembly,W4,S503,S991,0.10653809759834183,self_assembly,F1,4,self_assembly,F1,6
self_assembly,W4,S503,S991,0.9762225333907798,self_assembly,F1,4,self_assembly,F1,6
self_assembly,W4,S839,S991,0.00128050210110556,self_assembly,F1,5,self_assembly,F1,6
self_assembly,W4,S839,S991,0.2072450571147795,self_assembly,F1,5,self_assembly,F1,6
self_assembly,W5,S104,S335,0.5795876328727725,self_assembly,F0,1,self_assembly,F0,2
self_assembly,W5,S104,S335,0.8479713771720887,self_assembly,F0,1,self_assembly,F0,2
self_assembly,W5,S104,S454,0.8113290159661127,self_assembly,F0,1,self_assembly,F0,3
self_assembly,W5,S104,S454,0.9893108986290298,self_assembly,F0,1,self_assembly,F0,3
self_assembly,W5,S104,S538,0.6059922621339641,self_assembly,F0,1,self_assembly,F1,4
self_assembly,W5,S104,S538,0.6151722240058707,self_assembly,F0,1,self_assembly,F1,4
self_assembly,W5,S104,S552,0.5154273414627474,self_assembly,F0,1,self_assembly,F1,5
self_assembly,W5,S104,S552,0.5392361840243224,self_assembly,F0,1,self_assembly,F1,5
self_assembly,W5,S104,S839,0.5223097112860893,self_assembly,F0,1,self_assembly,F1,6
self_assembly,W5,S104,S839,0.5335138547107846,self_assembly,F0,1,self_assembly,F1,6
self_assembly,W5,S335,S454,0.3363575860786502,self_assembly,F0,2,self_assembly,F0,3
self_assembly,W5,S335,S454,0.8861819493762224,self_assembly,F0,2,self_assembly,F0,3
self_assembly,W5,S335,S538,0.7036031762763079,self_assembly,F0,2,self_assembly,F1,4
self_assembly,W5,S335,S538,0.7599671876653847,self_assembly,F0,2,self_assembly,F1,4
self_assembly,W5,S335,S552,0.49001896133993467,self_assembly,F0,2,self_assembly,F1,5
self_assembly,W5,S335,S552,0.6173827834501343,self_assembly,F0,2,self_assembly,F1,5
self_assembly,W5,S335,S839,0.4951546973007259,self_assembly,F0,2,self_assembly,F1,6
self_assembly,W5,S335,S839,0.6275743304983483,self_assembly,F0,2,self_assembly,F1,6
self_assembly,W5,S454,S538,0.5404381012128817,self_assembly,F0,3,self_assembly,F1,4
self_assembly,W5,S454,S538,0.5630584342070887,self_assembly,F0,3,self_assembly,F1,4
self_assembly,W5,S454,S552,0.346271283382463,self_assembly,F0,3,self_assembly,F1,5
self_assembly,W5,S454,S552,0.4237068323416784,self_assembly,F0,3,self_assembly,F1,5
self_assembly,W5,S454,S839,0.37217104915549765,self_assembly,F0,3,self_assembly,F1,6
self_assembly,W5,S454,S839,0.48476095443166506,self_assembly,F0,3,self_assembly,F1,6
self_assembly,W5,S538,S552,0.0015449841908594423,self_assembly,F1,4,self_assembly,F1,5
self_assembly,W5,S538,S552,0.25192663516984926,self_assembly,F1,4,self_assembly,F1,5
self_assembly,W5,S538,S839,0.0013432015072704162,self_assembly,F1,4,self_assembly,F1,6
self_assembly,W5,S538,S839,0.2215686980958729,self_assembly,F1,4,self_assembly,F1,6
self_assembly,W5,S552,S839,0.04376904079462081,self_assembly,F1,5,self_assembly,F1,6
self_assembly,W5,S552,S839,0.9407663626970935,self_assembly,F1,5,self_assembly,F1,6
self_assembly,W6,S27,S92,0.33955190306229566,self_assembly,F0,1,self_assembly,F0,2
self_assembly,W6,S27,S92,0.961330435714773,self_assembly,F0,1,self_assembly,F0,2
self_assembly,W6,S27,S107,0.13932767344138583,self_assembly,F0,1,self_assembly,F0,3
self_assembly,W6,S27,S107,0.5024695073377118,self_assembly,F0,1,self_assembly,F0,3
self_assembly,W6,S27,S200,0.355687743763495,self_assembly,F0,1,self_assembly,F0,4
self_assembly,W6,S27,S200,0.7814602883955138,self_assembly,F0,1,self_assembly,F0,4
self_assembly,W6,S27,S299,0.19099598181337757,self_assembly,F0,1,self_assembly,F0,5
self_assembly,W6,S27,S299,0.8895424022683512,self_assembly,F0,1,self_assembly,F0,5
self_assembly,W6,S27,S335,0.08937776054326546,self_assembly,F0,1,self_assembly,F0,6
self_assembly,W6,S27,S335,0.45032161195247183,self_assembly,F0,1,self_assembly,F0,6
self_assembly,W6,S27,S337,0.11718536951186255,self_assembly,F0,1,self_assembly,F0,7
self_assembly,W6,S27,S337,0.424058110532534,self_assembly,F0,1,self_assembly,F0,7
self_assembly,W6,S27,S643,0.6204611154198689,self_assembly,F0,1,self_assembly,F1,8
self_assembly,W6,S27,S643,0.6574359969652593,self_assembly,F0,1,self_assembly,F1,8
self_assembly,W6,S27,S664,0.7455117179101268,self_assembly,F0,1,self_assembly,F1,9
self_assembly,W6,S27,S664,0.7877720784412364,self_assembly,F0,1,self_assembly,F1,9
self_assembly,W6,S27,S735,0.6192317700155225,self_assembly,F0,1,self_assembly,F1,10
self_assembly,W6,S27,S735,0.653297602561105,self_assembly,F0,1,self_assembly,F1,10
self_assembly,W6,S27,S791,0.6154364857550996,self_assembly,F0,1,self_assembly,F1,11
self_assembly,W6,S27,S791,0.7180067443670224,self_assembly,F0,1,self_assembly,F1,11
self_assembly,W6,S92,S107,0.05257690208300318,self_assembly,F0,2,self_assembly,F0,3
self_assembly,W6,S92,S107,0.4179481143179999,self_assembly,F0,2,self_assembly,F0,3
self_assembly,W6,S92,S200,0.11977026728517783,self_assembly,F0,2,self_assembly,F0,4
self_assembly,W6,S92,S200,0.4668363765688027,self_assembly,F0,2,self_assembly,F0,4
self_assembly,W6,S92,S299,0.12308109168714436,self_assembly,F0,2,self_assembly,F0,5
self_assembly,W6,S92,S299,0.6915016557738436,self_assembly,F0,2,self_assembly,F0,5
self_assembly,W6,S92,S335,0.01674567089097417,self_assembly,F0,2,self_assembly,F0,6
self_assembly,W6,S92,S335,0.37529529912486254,self_assembly,F0,2,self_assembly,F0,6
self_assembly,W6,S92,S337,0.010333440791823863,self_assembly,F0,2,self_assembly,F0,7
self_assembly,W6,S92,S337,0.34008484520263554,self_assembly,F0,2,self_assembly,F0,7
self_assembly,W6,S92,S643,0.552615456428509,self_assembly,F0,2,self_assembly,F1,8
self_assembly,W6,S92,S643,0.5906166088951813,self_assembly,F0,2,self_assembly,F1,8
self_assembly,W6,S92,S664,0.5474764756201882,self_assembly,F0,2,self_assembly,F1,9
self_assembly,W6,S92,S664,0.5903893288544728,self_assembly,F0,2,self_assembly,F1,9
self_assembly,W6,S92,S735,0.5883978976056063,self_assembly,F0,2,self_assembly,F1,10
self_assembly,W6,S92,S735,0.6114957773400167,self_assembly,F0,2,self_assembly,F1,10
self_assembly,W6,S92,S791,0.5750070390399721,self_assembly,F0,2,self_assembly,F1,11
self_assembly,W6,S92,S791,0.647369861407041,self_assembly,F0,2,self_assembly,F1,11
self_assembly,W6,S107,S200,0.30014312001635657,self_assembly,F0,3,self_assembly,F0,4
self_assembly,W6,S107,S200,0.708769461559976,self_assembly,F0,3,self_assembly,F0,4
self_assembly,W6,S107,S299,0.4262876029552123,self_assembly,F0,3,self_assembly,F0,5
self_assembly,W6,S107,S299,0.9229860952011701,self_assembly,F0,3,self_assembly,F0,5
self_assembly,W6,S107,S335,0.19745862666322656,self_assembly,F0,3,self_assembly,F0,6
self_assembly,W6,S107,S335,0.7256470265497347,self_assembly,F0,3,self_assembly,F0,6
self_assembly,W6,S107,S337,0.13938202951875234,self_assembly,F0,3,self_assembly,F0,7
self_assembly,W6,S107,S337,0.6291779286703144,self_assembly,F0,3,self_assembly,F0,7
self_assembly,W6,S107,S643,0.7018572276306716,self_assembly,F0,3,self_assembly,F1,8
self_assembly,W6,S107,S643,0.7403425729070561,self_assembly,F0,3,self_assembly,F1,8
self_assembly,W6,S107,S664,0.7177787897022232,self_assembly,F0,3,self_assembly,F1,9
self_assembly,W6,S107,S664,0.7675919579620746,self_assembly,F0,3,self_assembly,F1,9
self_assembly,W6,S107,S735,0.6893797479453803,self_assembly,F0,3,self_assembly,F1,10
self_assembly,W6,S107,S735,0.7072729734681036,self_assembly,F0,3,self_assembly,F1,10
self_assembly,W6,S107,S791,0.7156468601752835,self_assembly,F0,3,self_assembly,F1,11
self_assembly,W6,S107,S791,0.7562712491058295,self_assembly,F0,3,self_assembly,F1,11
self_assembly,W6,S200,S299,0.40958773803327536,self_assembly,F0,4,self_assembly,F0,5
self_assembly,W6,S200,S299,0.8845063833232868,self_assembly,F0,4,self_assembly,F0,5
self_assembly,W6,S200,S335,0.18345095951762555,self_assembly,F0,4,self_assembly,F0,6
self_assembly,W6,S200,S335,0.597491989739958,self_assembly,F0,4,self_assembly,F0,6
self_assembly,W6,S200,S337,0.14482982282456558,self_assembly,F0,4,self_assembly,F0,7
self_assembly,W6,S200,S337,0.6074301098938314,self_assembly,F0,4,self_assembly,F0,7
self_assembly,W6,S200,S643,0.6672319864323256,self_assembly,F0,4,self_assembly,F1,8
self_assembly,W6,S200,S643,0.6746912840187027,self_assembly,F0,4,self_assembly,F1,8
self_assembly,W6,S200,S664,0.6841956847516073,self_assembly,F0,4,self_assembly,F1,9
self_assembly,W6,S200,S664,0.7036893922927685,self_assembly,F0,4,self_assembly,F1,9
self_assembly,W6,S200,S735,0.6392455311675501,self_assembly,F0,4,self_assembly,F1,10
self_assembly,W6,S200,S735,0.6444170186166164,self_assembly,F0,4,self_assembly,F1,10
self_assembly,W6,S200,S791,0.6596038094001979,self_assembly,F0,4,self_assembly,F1,11
self_assembly,W6,S200,S791,0.6843200946124373,self_assembly,F0,4,self_assembly,F1,11
self_assembly,W6,S299,S335,0.12746805489824892,self_assembly,F0,5,self_assembly,F0,6
self_assembly,W6,S299,S335,0.7038993593909573,self_assembly,F0,5,self_assembly,F0,6
self_assembly,W6,S299,S337,0.06959779862240836,self_assembly,F0,5,self_assembly,F0,7
self_assembly,W6,S299,S337,0.5468544783026436,self_assembly,F0,5,self_assembly,F0,7
self_assembly,W6,S299,S643,0.6509082401697833,self_assembly,F0,5,self_assembly,F1,8
self_assembly,W6,S299,S643,0.6695876633140643,self_assembly,F0,5,self_assembly,F1,8
self_assembly,W6,S299,S664,0.6658334529670571,self_assembly,F0,5,self_assembly,F1,9
self_assembly,W6,S299,S664,0.6960557236808737,self_assembly,F0,5,self_assembly,F1,9
self_assembly,W6,S299,S735,0.6817565621134326,self_assembly,F0,5,self_assembly,F1,10
self_assembly,W6,S299,S735,0.7058444585717313,self_assembly,F0,5,self_assembly,F1,10
self_assembly,W6,S299,S791,0.7042656449553001,self_assembly,F0,5,self_assembly,F1,11
self_assembly,W6,S299,S791,0.75284273210298,self_assembly,F0,5,self_assembly,F1,11
self_assembly,W6,S335,S337,0.08088656110716082,self_assembly,F0,6,self_assembly,F0,7
self_assembly,W6,S335,S337,0.8025523359179381,self_assembly,F0,6,self_assembly,F0,7
self_assembly,W6,S335,S643,0.731499184367929,self_assembly,F0,6,self_assembly,F1,8
self_assembly,W6,S335,S643,0.748405324067981,self_assembly,F0,6,self_assembly,F1,8
self_assembly,W6,S335,S664,0.7539636092785699,self_assembly,F0,6,self_assembly,F1,9
self_assembly,W6,S335,S664,0.782847185796965,self_assembly,F0,6,self_assembly,F1,9
self_assembly,W6,S335,S735,0.7009583209236322,self_assembly,F0,6,self_assembly,F1,10
self_assembly,W6,S335,S735,0.7208751699039768,self_assembly,F0,6,self_assembly,F1,10
self_assembly,W6,S335,S791,0.729705502386037,self_assembly,F0,6,self_assembly,F1,11
self_assembly,W6,S335,S791,0.7695352096536769,self_assembly,F0,6,self_assembly,F1,11
self_assembly,W6,S337,S643,0.7773497626008845,self_assembly,F0,7,self_assembly,F1,8
self_assembly,W6,S337,S643,0.8070494423064379,self_assembly,F0,7,self_assembly,F1,8
self_assembly,W6,S337,S664,0.759673820438963,self_assembly,F0,7,self_assembly,F1,9
self_assembly,W6,S337,S664,0.7846550717113375,self_assembly,F0,7,self_assembly,F1,9
self_assembly,W6,S337,S735,0.7230927868533013,self_assembly,F0,7,self_assembly,F1,10
self_assembly,W6,S337,S735,0.7342017693369045,self_assembly,F0,7,self_assembly,F1,10
self_assembly,W6,S337,S791,0.7909419637744,self_assembly,F0,7,self_assembly,F1,11
self_assembly,W6,S337,S791,0.8591470350648709,self_assembly,F0,7,self_assembly,F1,11
self_assembly,W6,S643,S664,0.04766140989351665,self_assembly,F1,8,self_assembly,F1,9
self_assembly,W6,S643,S664,0.9459612430261704,self_assembly,F1,8,self_assembly,F1,9
self_assembly,W6,S643,S735,0.08789232830158146,self_assembly,F1,8,self_assembly,F1,10
self_assembly,W6,S643,S735,0.9696746492283923,self_assembly,F1,8,self_assembly,F1,10
self_assembly,W6,S643,S791,0.01367191027470245,self_assembly,F1,8,self_assembly,F1,11
self_assembly,W6,S643,S791,0.8124044806444073,self_assembly,F1,8,self_assembly,F1,11
self_assembly,W6,S664,S735,0.09178700523315411,self_assembly,F1,9,self_assembly,F1,10
self_assembly,W6,S664,S735,0.9719878137553584,self_assembly,F1,9,self_assembly,F1,10
